category,job_type,job_offer_id
catering jobs,"Permanent, full-time",0
law jobs,"Permanent, full-time",1
factory jobs,"Permanent, full-time",2
law jobs,"Permanent, full-time or part-time",3
factory jobs,"Permanent, full-time",4
retail jobs,"Permanent, part-time",5
factory jobs,"Permanent, full-time",6
motoring automotive jobs,"Permanent, full-time",7
motoring automotive jobs,"Permanent, full-time",8
law jobs,"Permanent, full-time",9
motoring automotive jobs,"Permanent, full-time",10
law jobs,"Permanent, full-time",11
retail jobs,"Permanent, full-time",12
retail jobs,"Permanent, full-time",13
hr jobs,"Contract, full-time",14
catering jobs,"Permanent, part-time",15
retail jobs,"Permanent, full-time",16
catering jobs,"Temporary, part-time",17
marketing jobs,"Permanent, full-time",18
catering jobs,"Permanent, full-time",19
motoring automotive jobs,"Permanent, full-time",20
law jobs,"Permanent, full-time",21
motoring automotive jobs,"Permanent, full-time",22
law jobs,"Permanent, full-time or part-time",23
retail jobs,"Temporary, full-time or part-time",24
factory jobs,"Temporary, full-time",25
retail jobs,"Permanent, full-time",26
catering jobs,"Permanent, full-time",27
retail jobs,"Permanent, part-time",28
law jobs,"Permanent, full-time",29
hr jobs,"Permanent, full-time",30
motoring automotive jobs,"Permanent, full-time",31
catering jobs,"Contract, full-time",32
motoring automotive jobs,"Contract, full-time",33
retail jobs,"Temporary, full-time",34
motoring automotive jobs,"Temporary, full-time",35
retail jobs,"Permanent, full-time",36
hr jobs,"Permanent, full-time",37
marketing jobs,"Permanent, full-time",38
motoring automotive jobs,"Permanent, part-time",39
retail jobs,"Permanent, full-time",40
factory jobs,"Permanent, full-time",41
law jobs,"Contract, full-time",42
motoring automotive jobs,"Permanent, full-time",43
catering jobs,"Contract, full-time",44
retail jobs,"Permanent, full-time",45
retail jobs,"Permanent, part-time",46
retail jobs,"Permanent, full-time",47
hr jobs,"Permanent, full-time",48
law jobs,"Permanent, full-time or part-time",49
retail jobs,"Permanent, full-time",50
hr jobs,"Permanent, full-time",51
motoring automotive jobs,"Permanent, full-time",52
motoring automotive jobs,"Permanent, full-time",53
factory jobs,"Permanent, full-time",54
factory jobs,"Permanent, full-time",55
retail jobs,"Permanent, full-time",56
motoring automotive jobs,"Permanent, full-time",57
catering jobs,"Temporary, part-time",58
catering jobs,"Permanent, full-time",59
catering jobs,"Temporary, full-time or part-time",60
law jobs,"Permanent, full-time",61
catering jobs,"Permanent, full-time",62
factory jobs,"Permanent, full-time",63
hr jobs,"Temporary, full-time",64
marketing jobs,"Permanent, full-time",65
marketing jobs,"Permanent, full-time",66
retail jobs,"Permanent, full-time",67
catering jobs,"Permanent, full-time",68
retail jobs,"Permanent, full-time",69
motoring automotive jobs,"Permanent, full-time",70
catering jobs,"Permanent, full-time",71
factory jobs,"Permanent, full-time",72
motoring automotive jobs,"Permanent, full-time",73
factory jobs,"Permanent, full-time",74
retail jobs,"Permanent, full-time",75
motoring automotive jobs,"Permanent, full-time",76
law jobs,"Permanent, full-time",77
